<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.29	00:39:00	4494.150	4495.832	4492.147	4495.647	717	0	160
2025.12.29	00:40:00	4495.674	4503.304	4494.648	4502.478	629	0	160
2025.12.29	00:41:00	4502.437	4503.119	4500.654	4501.818	439	0	160
2025.12.29	00:42:00	4501.855	4501.855	4499.743	4501.513	427	0	160
2025.12.29	00:43:00	4501.463	4501.510	4494.777	4495.249	861	0	160
2025.12.29	00:44:00	4495.283	4496.755	4486.739	4489.787	1160	0	160
2025.12.29	00:45:00	4489.747	4497.788	4489.479	4497.437	1104	0	160
2025.12.29	00:46:00	4497.381	4497.748	4494.925	4494.925	615	0	160
2025.12.29	00:47:00	4494.876	4499.821	4493.545	4498.994	649	0	160
2025.12.29	00:48:00	4498.972	4504.655	4497.880	4504.547	701	0	160
2025.12.29	00:49:00	4504.488	4506.749	4502.951	4503.883	744	0	160
2025.12.29	00:50:00	4503.851	4505.555	4502.154	4503.400	549	0	160
2025.12.29	00:51:00	4503.283	4504.653	4498.962	4499.500	589	0	160
2025.12.29	00:52:00	4499.454	4501.268	4496.434	4500.771	540	0	160
2025.12.29	00:53:00	4500.817	4501.267	4498.237	4500.333	347	0	160
2025.12.29	00:54:00	4500.286	4500.501	4499.275	4499.686	332	0	160
2025.12.29	00:55:00	4499.640	4500.379	4497.239	4497.303	309	0	160
2025.12.29	00:56:00	4497.259	4501.616	4496.363	4501.334	555	0	160
2025.12.29	00:57:00	4501.258	4501.361	4498.440	4499.249	502	0	160
2025.12.29	00:58:00	4499.264	4501.903	4498.411	4501.366	306	0	160
2025.12.29	00:59:00	4501.341	4502.043	4497.142	4497.406	512	0	160
2025.12.29	01:00:00	4497.460	4498.815	4492.931	4493.932	1794	0	160
2025.12.29	01:01:00	4493.907	4502.189	4493.907	4499.316	1388	0	160
2025.12.29	01:02:00	4499.276	4505.245	4498.124	4501.317	1365	0	160
2025.12.29	01:03:00	4501.286	4507.935	4501.101	4503.921	1447	0	160
2025.12.29	01:04:00	4503.886	4506.469	4502.487	4504.704	1058	0	160
2025.12.29	01:05:00	4504.752	4505.623	4502.797	4504.913	751	0	160
2025.12.29	01:06:00	4504.881	4507.770	4504.012	4505.715	688	0	160
2025.12.29	01:07:00	4505.752	4507.836	4505.348	4505.896	730	0	160
2025.12.29	01:08:00	4505.930	4508.969	4505.930	4508.421	804	0	160
2025.12.29	01:09:00	4508.463	4510.480	4506.382	4507.691	778	0	160
2025.12.29	01:10:00	4507.669	4511.526	4507.149	4511.367	880	0	160
2025.12.29	01:11:00	4511.289	4512.834	4509.354	4510.499	666	0	160
2025.12.29	01:12:00	4510.468	4511.560	4507.013	4511.089	831	0	160
2025.12.29	01:13:00	4511.039	4514.792	4510.591	4513.167	613	0	160
2025.12.29	01:14:00	4513.129	4513.398	4511.139	4512.344	706	0	160
2025.12.29	01:15:00	4512.268	4515.468	4512.165	4514.849	574	0	160
2025.12.29	01:16:00	4514.799	4517.496	4513.809	4516.251	727	0	160
2025.12.29	01:17:00	4516.186	4516.720	4512.616	4512.768	618	0	160
2025.12.29	01:18:00	4512.734	4515.385	4512.734	4513.677	815	0	160
2025.12.29	01:19:00	4513.712	4513.970	4508.585	4510.069	881	0	160
2025.12.29	01:20:00	4510.114	4513.786	4510.114	4512.240	582	0	160
2025.12.29	01:21:00	4512.277	4513.957	4511.250	4512.498	583	0	160
2025.12.29	01:22:00	4512.528	4512.702	4509.579	4511.330	539	0	160
2025.12.29	01:23:00	4511.358	4512.098	4508.485	4509.079	512	0	160
2025.12.29	01:24:00	4509.136	4509.810	4506.610	4507.981	457	0	160
2025.12.29	01:25:00	4507.900	4507.915	4502.795	4503.311	637	0	160
2025.12.29	01:26:00	4503.290	4504.905	4499.417	4500.627	742	0	160
2025.12.29	01:27:00	4500.639	4500.639	4496.640	4497.698	927	0	160
2025.12.29	01:28:00	4497.723	4498.461	4495.979	4497.403	810	0	160
2025.12.29	01:29:00	4497.433	4500.273	4496.498	4499.605	626	0	160
2025.12.29	01:30:00	4499.650	4502.399	4497.656	4501.687	734	0	160
2025.12.29	01:31:00	4501.731	4504.032	4501.180	4501.616	813	0	160
2025.12.29	01:32:00	4501.659	4503.037	4496.572	4497.217	667	0	160
2025.12.29	01:33:00	4497.241	4501.047	4497.141	4497.435	591	0	160
2025.12.29	01:34:00	4497.398	4502.229	4496.367	4502.190	623	0	160
2025.12.29	01:35:00	4502.131	4507.822	4502.046	4503.856	715	0	160
2025.12.29	01:36:00	4503.904	4506.452	4502.843	4505.105	605	0	160
2025.12.29	01:37:00	4505.073	4505.073	4499.545	4501.151	821	0	160
2025.12.29	01:38:00	4501.199	4503.671	4499.383	4501.961	756	0	160
2025.12.29	01:39:00	4501.990	4503.021	4498.973	4499.061	905	0	160
2025.12.29	01:40:00	4499.114	4500.509	4497.411	4498.706	828	0	160
2025.12.29	01:41:00	4498.731	4499.295	4493.405	4494.575	754	0	160
2025.12.29	01:42:00	4494.627	4496.056	4493.311	4493.752	532	0	160
2025.12.29	01:43:00	4493.777	4497.009	4492.212	4496.337	573	0	160
2025.12.29	01:44:00	4496.377	4501.939	4496.377	4501.669	411	0	160
2025.12.29	01:45:00	4501.631	4501.631	4498.988	4499.499	433	0	160
2025.12.29	01:46:00	4499.463	4502.337	4498.723	4500.760	464	0	160
2025.12.29	01:47:00	4500.791	4501.731	4499.322	4500.943	326	0	160
2025.12.29	01:48:00	4500.902	4506.079	4500.468	4504.678	570	0	160
2025.12.29	01:49:00	4504.636	4505.914	4502.993	4504.779	383	0	160
2025.12.29	01:50:00	4504.788	4505.212	4502.054	4504.553	400	0	160
2025.12.29	01:51:00	4504.509	4506.343	4503.871	4504.869	360	0	160
2025.12.29	01:52:00	4504.915	4506.772	4504.862	4505.763	283	0	160
2025.12.29	01:53:00	4505.737	4505.969	4502.711	4502.737	524	0	160
2025.12.29	01:54:00	4502.708	4503.283	4497.615	4501.192	596	0	160
2025.12.29	01:55:00	4501.150	4501.679	4496.875	4497.316	427	0	160
2025.12.29	01:56:00	4497.383	4499.385	4497.383	4497.980	558	0	160
2025.12.29	01:57:00	4498.027	4498.553	4495.115	4495.586	455	0	160
2025.12.29	01:58:00	4495.630	4498.156	4495.088	4497.133	495	0	160
2025.12.29	01:59:00	4497.214	4498.745	4496.638	4497.163	437	0	160
2025.12.29	02:00:00	4497.131	4503.100	4496.412	4501.896	633	0	160
2025.12.29	02:01:00	4502.017	4505.912	4501.865	4504.482	736	0	160
